ID,ti,al,ar
1020950,All I Ever Wanted (Radio Edit),Welcome To St. Tropez,DJ Monaco
793420,Rolling in the Deep,21 (Deluxe Edition),Adele
1021582,Moves Like Jagger,Moves Like Jagger (The Voice Performance),Maroon 5
776543,僵尸 Zombie,最新汽车升级版1 - 车载低音炮,DJ小可
389193,Innocence,The Best Damn Thing: Deluxe Edition,Avril Lavigne
1319045,Jar Of Love,我的歌声里,曲婉婷
797010,Love The Way You Lie,Grammy Nominees 2011,Eminem
811727,Tik Tok(Live),2011年3月欧美新歌速递1,Avril Lavigne
767474,Latin Girl,2010年12月欧美新歌速递2,Justin Bieber
776531,蹦吧啦 Bo Ba La,最新汽车升级版1 - 车载低音炮,DJ小可
1355235,Stronger,Now That's What I Call Music Vol. 42,Kelly Clarkson
2636499,Someone Like You,Billboard 2012 Year-End Hot 100,Adele
745436,Burning,爱-动听之抒情篇3,Maria Arredondo
807561,Everybody Hurts,Goodbye Lullaby (Deluxe Edition),Avril Lavigne
1518325,Whistle,Wild Ones,Flo Rida
1020939,I Wanna Go (Radio Edit),Welcome To St. Tropez,DJ Monaco
615028,You Belong With Me,Promo Only Mainstream Radio July 2009,Taylor Swift
1148559,I'm Living To Love You,Dancing Las Vegas,DJ Bobo
863692,DJ Got Us Fallin' In Love,Billboard 2010 Year-End Hot 100 Songs,Usher
442826,The Show,Lenka,Lenka
1146152,Everything In the World,Wanting,曲婉婷
889867,Rolling In The Deep,iTunes Festival: London 2011,Adele
811746,Till The World Ends,Femme Fatale (Deluxe Version),Britney Spears
100746,god is a girl,二月份最新单曲推荐(2006),Groove Coverage
656580,The Saltwater Room,Ocean Eyes (Deluxe Edition),Owl City
1091716,Long Live,Long Live (feat. Paula Fernandes),Taylor Swift
1148560,Dead Or Alive,Dancing Las Vegas,DJ Bobo
1020940,Who's That Chick (Radio Edit),Welcome To St. Tropez,DJ Monaco
1020934,Welcome To St. Tropez (Radio Edit),Welcome To St. Tropez,DJ Monaco
784331,舞动激情 Body To Body,Body To Body,Jay-J
1154403,Someone Like You: Live from the BRITs,Someone Like You,Adele
475750,Mad World,Season 8 Favorite Performances,Adam Lambert
182150,Because of You,Beautiful Love Songs,Kelly Clarkson
746055,Yesterday Once More,40/40,Carpenters Gold
462049,Valder Fields,A Plea en Vendredi,Tamas Wells
1145144,What Are Words,落雨纷飞的季节,Chris Medina
856319,Halo,I Am... Sasha Fierce (Deluxe Version),Beyoncé
659638,A Little Love,如果...阳光．雨（新曲+精选）,冯曦妤
432263,Burning,Not Going Under,Maria Arredondo
1145592,Price Tag,The BRIT Awards With MasterCard 2012,Jessie J
4828869,Gentleman,"Future Trance, Vol. 64",Psy
4978397,Gentleman,"Bravo Hits, Vol. 82",Psy
416851,I Love You,Start From Here,王若琳
671770,Poker Face (LLG vs. GLG Radio Mix Remix),The Remix,Lady GaGa
4755779,You and Me,银河的危机: 最奇异的午夜转播,王若琳
449500,If I Were A Boy,I Am...Sasha Fierce,Beyoncé
763174,Whataya Want from Me,Acoustic Live! - EP,Adam Lambert
613906,Gotta Have You,Say I Am You,The Weepies
985825,It's My Life,Greatest Hits: The Ultimate Collection,Bon Jovi
1474767,Numb,Greatest Hits,Linkin Park
1201677,My Heart Will Go On,泰坦尼克号-百年纪念版,Céline Dion
146060,I don't give,全球音乐极品珍藏集1,Avril Lavigne
774900,Free Loop,Best Of Me,Daniel Powter
1162304,...Baby One More Time,...Baby One More Time (Digital 45),Britney Spears
2481729,Wedding Dress (ENG.),SPECIAL FINAL IN DOME MEMORIAL COLLECTION,BigBang
839079,On the Floor,Love (Deluxe Edition),Jennifer Lopez
4755868,Heart Attack,Heart Attack - Single,Demi Lovato
319997,On The Radio,21st Century Digital Girl,Groove Coverage
857511,International Love,Planet Pit (Deluxe Edition),Pitbull
184161,别碰我,曾经的歌系列 8,Sweetbox
445992,lubov,曾经的歌系列19,RossTallanma
2451149,七滴眼泪,在线热搜（华语）系列45,姜玉阳
450580,Dangerous,Now Thats What I Call Music 29,Akon
96155,"Mad, Sexy, Cool",Grown & Sexy,Babyface
